日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,,
20240430,メディパルホールディングス,7459,卸売業,0.07%,TOPIX Mid400,,
20240430,アマダ,6113,機械,0.07%,TOPIX Mid400,,
20240430,住友重機械工業,6302,機械,0.07%,TOPIX Mid400,,
20240430,スクウェア・エニックス・ホールディングス,9684,情報・通信業,0.07%,TOPIX Mid400,,
20240430,光通信,9435,情報・通信業,0.07%,TOPIX Mid400,,
20240430,王子ホールディングス,3861,パルプ・紙,0.07%,TOPIX Mid400,,
20240430,めぶきフィナンシャルグループ,7167,銀行業,0.07%,TOPIX Mid400,,
20240430,クラレ,3405,化学,0.07%,TOPIX Mid400,,
20240430,ベイカレント・コンサルティング,6532,サービス業,0.07%,TOPIX Mid400,,
20240430,ヤマトホールディングス,9064,陸運業,0.07%,TOPIX Mid400,,
20240430,日産化学,4021,化学,0.07%,TOPIX Mid400,,
20240430,山崎製パン,2212,食料品,0.06%,TOPIX Mid400,,
20240430,日本碍子,5333,ガラス・土石製品,0.06%,TOPIX Mid400,,
20240430,住友化学,4005,化学,0.06%,TOPIX Mid400,,
20240430,ヒロセ電機,6806,電気機器,0.06%,TOPIX Mid400,,
20240430,アルフレッサ　ホールディングス,2784,卸売業,0.06%,TOPIX Mid400,,
20240430,野村不動産ホールディングス,3231,不動産業,0.06%,TOPIX Mid400,,
20240430,九州旅客鉄道,9142,陸運業,0.06%,TOPIX Mid400,,
20240430,ニコン,7731,精密機器,0.06%,TOPIX Mid400,,
20240430,ローソン,2651,小売業,0.06%,TOPIX Mid400,,
20240430,パーソルホールディングス,2181,サービス業,0.06%,TOPIX Mid400,,
20240430,ＺＯＺＯ,3092,小売業,0.06%,TOPIX Mid400,,
20240430,サンリオ,8136,卸売業,0.06%,TOPIX Mid400,,
20240430,日本オラクル,4716,情報・通信業,0.06%,TOPIX Mid400,,
20240430,三菱マテリアル,5711,非鉄金属,0.06%,TOPIX Mid400,,
20240430,東京建物,8804,不動産業,0.06%,TOPIX Mid400,,
20240430,コスモエネルギーホールディングス,5021,石油・石炭製品,0.06%,TOPIX Mid400,,
20240430,サイバーエージェント,4751,サービス業,0.06%,TOPIX Mid400,,
20240430,エア・ウォーター,4088,化学,0.06%,TOPIX Mid400,,
20240430,八十二銀行,8359,銀行業,0.06%,TOPIX Mid400,,
20240430,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,6525,電気機器,0.06%,TOPIX Small 2,,
20240430,ツルハホールディングス,3391,小売業,0.06%,TOPIX Mid400,,
20240430,小糸製作所,7276,電気機器,0.06%,TOPIX Mid400,,
20240430,電源開発,9513,電気・ガス業,0.06%,TOPIX Mid400,,
20240430,日本ハム,2282,食料品,0.06%,TOPIX Mid400,,
20240430,岩谷産業,8088,卸売業,0.06%,TOPIX Mid400,,
20240430,東京精密,7729,精密機器,0.06%,TOPIX Mid400,,
20240430,太平洋セメント,5233,ガラス・土石製品,0.06%,TOPIX Mid400,,
20240430,名古屋鉄道,9048,陸運業,0.05%,TOPIX Mid400,,
20240430,アルバック,6728,電気機器,0.05%,TOPIX Mid400,,
20240430,ヤマハ,7951,その他製品,0.05%,TOPIX Mid400,,
20240430,横浜ゴム,5101,ゴム製品,0.05%,TOPIX Mid400,,
20240430,ＴＢＳホールディングス,9401,情報・通信業,0.05%,TOPIX Mid400,,
20240430,きんでん,1944,建設業,0.05%,TOPIX Mid400,,
20240430,日本テレビホールディングス,9404,情報・通信業,0.05%,TOPIX Mid400,,
20240430,三菱瓦斯化学,4182,化学,0.05%,TOPIX Mid400,,
20240430,東京応化工業,4186,化学,0.05%,TOPIX Mid400,,
20240430,九州フィナンシャルグループ,7180,銀行業,0.05%,TOPIX Mid400,,
20240430,ＴＨＫ,6481,機械,0.05%,TOPIX Mid400,,
20240430,ＳＣＳＫ,9719,情報・通信業,0.05%,TOPIX Mid400,,
20240430,新光電気工業,6967,電気機器,0.05%,TOPIX Mid400,,
20240430,三菱自動車工業,7211,輸送用機器,0.05%,TOPIX Mid400,,
20240430,日本空港ビルデング,9706,不動産業,0.05%,TOPIX Mid400,,
20240430,しまむら,8227,小売業,0.05%,TOPIX Mid400,,
20240430,博報堂ＤＹホールディングス,2433,サービス業,0.05%,TOPIX Mid400,,
20240430,日油,4403,化学,0.05%,TOPIX Mid400,,
20240430,飯田グループホールディングス,3291,不動産業,0.05%,TOPIX Mid400,,
20240430,ダイセル,4202,化学,0.05%,TOPIX Mid400,,
20240430,中国電力,9504,電気・ガス業,0.05%,TOPIX Mid400,,
20240430,住友ゴム工業,5110,ゴム製品,0.05%,TOPIX Mid400,,
20240430,日清製粉グループ本社,2002,食料品,0.05%,TOPIX Mid400,,
20240430,セガサミーホールディングス,6460,機械,0.05%,TOPIX Mid400,,
20240430,京王電鉄,9008,陸運業,0.05%,TOPIX Mid400,,
20240430,サッポロホールディングス,2501,食料品,0.05%,TOPIX Mid400,,
20240430,日本光電工業,6849,電気機器,0.05%,TOPIX Mid400,,
20240430,群馬銀行,8334,銀行業,0.05%,TOPIX Mid400,,
20240430,日立建機,6305,機械,0.05%,TOPIX Mid400,,
20240430,クレディセゾン,8253,その他金融業,0.05%,TOPIX Mid400,,
20240430,太陽誘電,6976,電気機器,0.05%,TOPIX Mid400,,
20240430,京阪ホールディングス,9045,陸運業,0.05%,TOPIX Mid400,,
20240430,フジ・メディア・ホールディングス,4676,情報・通信業,0.05%,TOPIX Mid400,,
20240430,ライオン,4912,化学,0.05%,TOPIX Mid400,,
20240430,スタンレー電気,6923,電気機器,0.05%,TOPIX Mid400,,
20240430,関西ペイント,4613,化学,0.05%,TOPIX Mid400,,
20240430,ニチレイ,2871,食料品,0.05%,TOPIX Mid400,,
20240430,マクニカホールディングス,3132,卸売業,0.05%,TOPIX Mid400,,
20240430,スズケン,9987,卸売業,0.05%,TOPIX Mid400,,
20240430,東邦瓦斯,9533,電気・ガス業,0.05%,TOPIX Mid400,,
20240430,オープンハウスグループ,3288,不動産業,0.04%,TOPIX Mid400,,
20240430,あおぞら銀行,8304,銀行業,0.04%,TOPIX Mid400,,
20240430,ＴＯＹＯ　ＴＩＲＥ,5105,ゴム製品,0.04%,TOPIX Mid400,,
20240430,長谷工コーポレーション,1808,建設業,0.04%,TOPIX Mid400,,
20240430,コカ・コーラ　ボトラーズジャパンホールディングス,2579,食料品,0.04%,TOPIX Mid400,,
20240430,カゴメ,2811,食料品,0.04%,TOPIX Mid400,,
20240430,ゴールドウイン,8111,繊維製品,0.04%,TOPIX Mid400,,
20240430,丸井グループ,8252,小売業,0.04%,TOPIX Mid400,,
20240430,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,小売業,0.04%,TOPIX Mid400,,
20240430,リンナイ,5947,金属製品,0.04%,TOPIX Mid400,,
20240430,キユーピー,2809,食料品,0.04%,TOPIX Mid400,,
20240430,ＧＭＯペイメントゲートウェイ,3769,情報・通信業,0.04%,TOPIX Mid400,,
20240430,Ｊ．フロント　リテイリング,3086,小売業,0.04%,TOPIX Mid400,,
20240430,ＳＡＮＫＹＯ,6417,機械,0.04%,TOPIX Mid400,,
20240430,コーセー,4922,化学,0.04%,TOPIX Mid400,,
20240430,ナブテスコ,6268,機械,0.04%,TOPIX Mid400,,
20240430,コムシスホールディングス,1721,建設業,0.04%,TOPIX Mid400,,
20240430,エクシオグループ,1951,建設業,0.04%,TOPIX Mid400,,
20240430,大和工業,5444,鉄鋼,0.04%,TOPIX Mid400,,
20240430,サンドラッグ,9989,小売業,0.04%,TOPIX Mid400,,
20240430,高島屋,8233,小売業,0.04%,TOPIX Mid400,,
20240430,小林製薬,4967,化学,0.04%,TOPIX Mid400,,
20240430,テクノプロ・ホールディングス,6028,サービス業,0.04%,TOPIX Mid400,,
20240430,日本精工,6471,機械,0.04%,TOPIX Mid400,,
20240430,日本電気硝子,5214,ガラス・土石製品,0.04%,TOPIX Mid400,,
20240430,ひろぎんホールディングス,7337,銀行業,0.04%,TOPIX Mid400,,
20240430,インフロニア・ホールディングス,5076,建設業,0.04%,TOPIX Mid400,,
20240430,日本電子,6951,電気機器,0.04%,TOPIX Mid400,,
20240430,上組,9364,倉庫・運輸関連業,0.04%,TOPIX Mid400,,
20240430,カルビー,2229,食料品,0.04%,TOPIX Mid400,,
20240430,京浜急行電鉄,9006,陸運業,0.04%,TOPIX Mid400,,
20240430,山口フィナンシャルグループ,8418,銀行業,0.04%,TOPIX Mid400,,
20240430,ＫＡＤＯＫＡＷＡ,9468,情報・通信業,0.04%,TOPIX Mid400,,
20240430,綜合警備保障,2331,サービス業,0.04%,TOPIX Mid400,,
20240430,ＤＯＷＡホールディングス,5714,非鉄金属,0.04%,TOPIX Mid400,,
20240430,ＢＩＰＲＯＧＹ,8056,情報・通信業,0.04%,TOPIX Mid400,,
20240430,三井金属鉱業,5706,非鉄金属,0.04%,TOPIX Mid400,,
20240430,スギホールディングス,7649,小売業,0.04%,TOPIX Mid400,,
20240430,帝人,3401,繊維製品,0.04%,TOPIX Mid400,,
20240430,日揮ホールディングス,1963,建設業,0.04%,TOPIX Mid400,,
20240430,デクセリアルズ,4980,化学,0.04%,TOPIX Mid400,,
20240430,ローツェ,6323,機械,0.04%,TOPIX Small 1,,
20240430,楽天銀行,5838,銀行業,0.04%,TOPIX Small 1,,
20240430,ヤマダホールディングス,9831,小売業,0.04%,TOPIX Mid400,,
20240430,エービーシー・マート,2670,小売業,0.04%,TOPIX Mid400,,
20240430,日本発條,5991,金属製品,0.04%,TOPIX Mid400,,
20240430,東洋製罐グループホールディングス,5901,金属製品,0.04%,TOPIX Mid400,,
20240430,日本瓦斯,8174,小売業,0.04%,TOPIX Mid400,,
20240430,全国保証,7164,その他金融業,0.04%,TOPIX Mid400,,
20240430,日本Ｍ＆Ａセンターホールディングス,2127,サービス業,0.04%,TOPIX Mid400,,
20240430,いよぎんホールディングス,5830,銀行業,0.04%,TOPIX Mid400,,
20240430,シャープ,6753,電気機器,0.04%,TOPIX Mid400,,
20240430,九電工,1959,建設業,0.04%,TOPIX Mid400,,
20240430,高砂熱学工業,1969,建設業,0.04%,TOPIX Small 1,,
20240430,山九,9065,陸運業,0.04%,TOPIX Mid400,,
20240430,ＵＢＥ,4208,化学,0.04%,TOPIX Mid400,,
20240430,戸田建設,1860,建設業,0.04%,TOPIX Mid400,,
20240430,サワイグループホールディングス,4887,医薬品,0.03%,TOPIX Mid400,,
20240430,ニッスイ,1332,水産・農林業,0.03%,TOPIX Mid400,,
20240430,長瀬産業,8012,卸売業,0.03%,TOPIX Mid400,,
20240430,コスモス薬品,3349,小売業,0.03%,TOPIX Mid400,,
20240430,ダイワボウホールディングス,3107,卸売業,0.03%,TOPIX Mid400,,
20240430,インターネットイニシアティブ,3774,情報・通信業,0.03%,TOPIX Mid400,,
20240430,アルプスアルパイン,6770,電気機器,0.03%,TOPIX Mid400,,
